ID,NUMERO_IDENTIFICADOR,NOMBRE_ESTANDARIZADO,MARCA_ESTANDARIZADA
146,20965216,AUTOMOVIL,HYUNDAI
147,20994908,AUTOMOVIL,HYUNDAI
148,20985934,AUTOMOVIL,HYUNDAI
149,20981941,AUTOMOVIL,HYUNDAI
150,20995400,AUTOMOVIL,HYUNDAI
151,21025848,AUTOMOVIL,MERCEDES BENZ
152,20996272,AUTOMOVIL,MERCEDES BENZ
153,20999813,AUTOMOVIL,MERCEDES BENZ
154,21025712,AUTOMOVIL,MERCEDES BENZ
155,20974528,AUTOMOVIL,MERCEDES BENZ
156,21026124,AUTOMOVIL,MERCEDES BENZ
157,20960776,AUTOMOVIL,MERCEDES BENZ
158,20976943,AUTOMOVIL,MERCEDES BENZ
159,20979062,AUTOMOVIL,MERCEDES BENZ
160,21006892,AUTOMOVIL,MERCEDES BENZ
161,21030804,AUTOMOVIL,MERCEDES BENZ
162,20998983,AUTOMOVIL,MERCEDES BENZ
163,20948745,AUTOMOVIL,MERCEDES BENZ
164,21025675,AUTOMOVIL,MERCEDES BENZ
165,20983067,AUTOMOVIL,MERCEDES BENZ
166,21018938,AUTOMOVIL,NO ESPECIFICADA
167,20953412,AUTOMOVIL,NO ESPECIFICADA
168,20948053,AUTOMOVIL,NO ESPECIFICADA
169,20962788,AUTOMOVIL,KIA
170,21004497,AUTOMOVIL,SEAT
171,21006152,AUTOMOVIL,NO ESPECIFICADA
172,20980099,AUTOMOVIL,TRIUMPH
173,21020238,AUTOMOVIL,MINI
174,20972744,AUTOMOVIL,MINI
175,21005052,AUTOMOVIL,MINI
176,20971276,AUTOMOVIL,MINI
177,20981079,AUTOMOVIL,MINI
178,20955983,AUTOMOVIL,MINI
179,21016186,AUTOMOVIL,MINI
180,20984336,AUTOMOVIL,MINI
181,20984483,AUTOMOVIL,MINI
182,20959164,AUTOMOVIL,MINI
183,20999086,AUTOMOVIL,MINI
184,20990566,AUTOMOVIL,MINI
185,21024786,AUTOMOVIL,MINI
186,20999486,AUTOMOVIL,MINI
187,21005826,AUTOMOVIL,MINI
188,20953161,AUTOMOVIL,MINI
189,20975742,AUTOMOVIL,MINI
190,21029219,AUTOMOVIL,MINI
191,20981475,AUTOMOVIL,MINI
192,20973954,AUTOMOVIL,BMW
193,20949963,AUTOMOVIL,BMW
194,21003598,AUTOMOVIL,BMW
195,20995854,OTROS,NO ESPECIFICADA
196,20997396,CASA RODANTE,FIAT
197,20967982,CASA RODANTE,FIAT
198,20993290,CASA RODANTE,NO ESPECIFICADA
199,20978778,CASA RODANTE,CITROEN
200,21019983,CASA RODANTE,NO ESPECIFICADA
201,20945150,CASA RODANTE,NO ESPECIFICADA
202,20991887,AUTOMOVIL,HYUNDAI
203,21026284,GO KART,NO ESPECIFICADA
204,20970479,GO KART,NO ESPECIFICADA
205,21005247,AUTOMOVIL,HYUNDAI
206,20972857,CHASSIS CABINA,HYUNDAI
207,21015639,AUTOMOVIL,NO ESPECIFICADA
208,21015630,CHASSIS CABINA,HYUNDAI
209,20958036,CHASSIS CABINA,HYUNDAI
210,21022203,AUTOMOVIL,NO ESPECIFICADA
211,21005020,AUTOMOVIL,NO ESPECIFICADA
212,20945389,AUTOMOVIL,NO ESPECIFICADA
213,20999781,AUTOMOVIL,NO ESPECIFICADA
214,20979571,AUTOMOVIL,NO ESPECIFICADA
215,20963049,CHASSIS CABINA,HYUNDAI
216,20980569,CHASSIS CABINA,HYUNDAI
217,20957650,CAMION,HYUNDAI
218,20958492,CAMION,HYUNDAI
219,20978821,CAMION,HYUNDAI
220,20976392,CAMION,HYUNDAI
221,21021696,AUTOMOVIL,HYUNDAI
222,20974089,AUTOMOVIL,HYUNDAI
223,21001260,AUTOMOVIL,HYUNDAI
224,20973546,AUTOMOVIL,NISSAN
225,21016043,AUTOMOVIL,NISSAN
226,20996113,AUTOMOVIL,NISSAN
227,20969856,AUTOMOVIL,MAHINDRA
228,20973059,AUTOMOVIL,MAHINDRA
229,21016813,CHASSIS CABINA,HYUNDAI
230,20968510,CARRO BOMBA,SCANIA
231,21018568,OTROS,NO ESPECIFICADA
232,20991718,OTROS,NO ESPECIFICADA
233,21025350,OTROS,NO ESPECIFICADA
234,21014907,AUTOMOVIL,HYUNDAI
235,21010772,AUTOMOVIL,HYUNDAI
236,20998769,CAMION,NO ESPECIFICADA
237,20995668,AUTOMOVIL,BRILLIANCE
238,20950147,AUTOMOVIL,BRILLIANCE
239,21012021,AUTOMOVIL,BRILLIANCE
240,20990488,AUTOMOVIL,BRILLIANCE
241,20953080,AUTOMOVIL,GAC
242,20982315,AUTOMOVIL,MITSUBISHI
243,21004039,AUTOMOVIL,MITSUBISHI
244,21003809,AUTOMOVIL,MITSUBISHI
245,20965277,AUTOMOVIL,HYUNDAI
246,21011200,AUTOMOVIL,HYUNDAI
247,21002678,AUTOMOVIL,HYUNDAI
248,21029040,AUTOMOVIL,HYUNDAI
249,20986046,MOTOCICLETA,NO ESPECIFICADA
250,20986046,OTROS,NO ESPECIFICADA
251,20962817,OTROS,NO ESPECIFICADA
252,20998884,AUTOMOVIL,HYUNDAI
253,21029880,AUTOMOVIL,HYUNDAI
254,20992680,AUTOMOVIL,BMW
255,20966913,AUTOMOVIL,BMW
256,20978750,BUS,ZHONGTONG
257,20981378,BUS,ZHONGTONG
258,20986038,BUS,JAC
259,21002255,BUS,JAC
260,21002980,BUS,JAC
261,20959089,BUS,ZHONGTONG
262,21005753,BUS,ZHONGTONG
263,20984089,BUS,ZHONGTONG
264,20982665,BUS,ZHONGTONG
265,21028453,BUS,ZHONGTONG
266,20945647,BUS,ZHONGTONG
267,20956960,BUS,ZHONGTONG
268,20982171,CAMION,NO ESPECIFICADA
269,20986580,CAMION,NO ESPECIFICADA
270,20976870,CAMION,NO ESPECIFICADA
271,21010209,CAMION,NO ESPECIFICADA
272,21003572,CAMION,NO ESPECIFICADA
273,21017879,CAMION,NO ESPECIFICADA
274,21016445,CAMION,NO ESPECIFICADA
275,20971422,AUTOMOVIL,LAND ROVER
276,21001581,AUTOMOVIL,LAND ROVER
277,21022631,AUTOMOVIL,VOLVO
278,20965223,AUTOMOVIL,VOLVO
279,21004259,AUTOMOVIL,VOLVO
280,20968693,AUTOMOVIL,VOLVO
281,20961380,AUTOMOVIL,VOLVO
282,20949436,AUTOMOVIL,VOLVO
283,21020214,AUTOMOVIL,VOLVO
284,20954514,AUTOMOVIL,VOLVO
285,21014437,AUTOMOVIL,VOLVO
286,20986902,AUTOMOVIL,BMW
287,20955472,AUTOMOVIL,BMW
288,20973607,AUTOMOVIL,BMW
289,21007859,AUTOMOVIL,NO ESPECIFICADA
