ID,NUM_MANIF,NOMBRE_ADUANA,NOMBRE_NAVE,NOMBRE_AGENTE_DE_NAVES
84,237891,SAN ANTONIO,GLOVIS COUNTESS,AGENCIAS UNIVERSALES S.A.
85,237952,SAN ANTONIO,MAERSK EINDHOVEN,IAN TAYLOR Y CIA. S.A.
86,239415,IQUIQUE,GENIUS HIGHWAY,AGENCIAS UNIVERSALES S.A.
87,239448,VALPARAISO,JIN RUI,AGENCIAS UNIVERSALES S.A.
88,239526,SAN ANTONIO,MSC BIANCA,MEDITERRANEAN SHIPPING COMPANY (CHILE) S.A.
89,240289,SAN ANTONIO,MSC CHIYO,MEDITERRANEAN SHIPPING COMPANY (CHILE) S.A.
90,235415,SAN ANTONIO,,
91,MSC YASHI B,SAN ANTONIO,,
92,MSC DOMITILLE,SAN ANTONIO,,
93,236618,SAN ANTONIO,SKAGEN MAERSK,IAN TAYLOR Y CIA. S.A.
94,239268,VALPARAISO,CAUTIN,ULTRAMAR AGENCIA MARITIMA LIMITADA
95,239286,SAN ANTONIO,SEAMASTER,AGENCIAS UNIVERSALES S.A.
96,238202,VALPARAISO,FORTUNE ARK,AGENCIAS UNIVERSALES S.A.
97,239745,VALPARAISO,MAERSK EVERGLADES,IAN TAYLOR Y CIA. S.A.
98,234264,VALPARAISO,,
99,238765,ANTOFAGASTA,INDUSTRIAL MOMENTUM,MARITIMA VALPARAISO CHILE SPA
100,239803,SAN ANTONIO,MSC BARI,MEDITERRANEAN SHIPPING COMPANY (CHILE) S.A.
101,238127,SAN ANTONIO,RCC AFRICA,AGENCIAS UNIVERSALES S.A.
102,240141,SAN ANTONIO,EVER FOND,EVERGREEN SHIPPING AGENCY ( CHILE )
103,236242,SAN ANTONIO,GLORIOUS LEADER,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA
104,235843,SAN ANTONIO,,
105,236312,SAN ANTONIO,CMA CGM ESTELLE,IAN TAYLOR Y CIA. S.A.
106,238409,SAN ANTONIO,TINA I,IAN TAYLOR Y CIA. S.A.
107,236250,VALPARAISO,KOTA SALAM,A. J. BROOM Y CIA. SAC
108,236266,SAN ANTONIO,,
109,236342,VALPARAISO,CAUTIN,ULTRAMAR AGENCIA MARITIMA LIMITADA
110,236128,IQUIQUE,,
111,240031,SAN ANTONIO,CAPE SCOTT,IAN TAYLOR Y CIA. S.A.
112,237773,VALPARAISO,POLAR PERU,IAN TAYLOR Y CIA. S.A.
113,238915,SAN ANTONIO,POLAR ARGENTINA,IAN TAYLOR Y CIA. S.A.
